0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Elastic_modulus,energy_efficiency,num_reinforced
1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.347944923,0.404116789,4
1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1.475136742,0.355838435,6
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1.361885569,0.377192603,4
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.329224141,0.418622579,3
1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1.457887036,0.348539206,6
0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1.437822033,0.365903473,5
1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1.391872859,0.371456195,5
1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.355000563,0.403511874,4
0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1.390964087,0.38873376,5
1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1.450967559,0.349207509,6
0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1.455583257,0.340965148,6
1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1.455397621,0.332689551,6
1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1.425125726,0.366322016,5
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1.366772393,0.412427236,4
0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1.413602617,0.316339463,6
1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1.397833311,0.395735333,5
1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1.5261419,0.355818269,6
1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1.442961636,0.355773188,6
1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1.436200326,0.348280931,6
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.32383559,0.461235708,3
1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1.411969879,0.383124565,5
1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1.449089782,0.336310931,6
1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1.445714627,0.342724423,6
1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1.426119349,0.310221957,6
0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1.321931101,0.421619266,4
1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1.371406629,0.344521333,6
